      Step     Time          Energy         fmax
BFGS:    0 14:53:12       16.008732       33.4379
BFGS:    1 14:53:12        2.282835       18.4205
BFGS:    2 14:53:12       -0.705093        9.3970
BFGS:    3 14:53:12       -2.336237        2.8846
BFGS:    4 14:53:12       -2.823415        1.6421
BFGS:    5 14:53:12       -3.092011        0.7101
BFGS:    6 14:53:12       -3.147166        0.3479
BFGS:    7 14:53:12       -3.156872        0.2138
BFGS:    8 14:53:12       -3.159548        0.1685
BFGS:    9 14:53:12       -3.163330        0.1443
BFGS:   10 14:53:12       -3.167914        0.1537
BFGS:   11 14:53:12       -3.171065        0.2081
BFGS:   12 14:53:12       -3.172636        0.2096
BFGS:   13 14:53:12       -3.174797        0.1880
BFGS:   14 14:53:12       -3.178920        0.1815
BFGS:   15 14:53:12       -3.187533        0.2679
BFGS:   16 14:53:12       -3.204936        0.6136
BFGS:   17 14:53:12       -3.237738        1.4804
BFGS:   18 14:53:12       -3.283645        2.2744
BFGS:   19 14:53:12       -3.333996        2.6288
BFGS:   20 14:53:12       -3.372290        1.6281
BFGS:   21 14:53:12       -3.409171        1.2258
BFGS:   22 14:53:12       -3.461899        1.3260
BFGS:   23 14:53:12       -3.625341        1.3712
BFGS:   24 14:53:12       -3.678539        1.0034
BFGS:   25 14:53:12       -3.734406        0.5078
BFGS:   26 14:53:12       -3.754136        0.6185
BFGS:   27 14:53:12       -3.813381        1.0904
BFGS:   28 14:53:12       -3.901289        1.3001
BFGS:   29 14:53:12       -3.804996        1.6688
BFGS:   30 14:53:12       -3.953296        0.6146
BFGS:   31 14:53:12       -4.005754        0.8657
BFGS:   32 14:53:12       -4.088836        0.9122
BFGS:   33 14:53:12       -4.162071        0.8420
BFGS:   34 14:53:12       -4.200114        0.3764
BFGS:   35 14:53:12       -4.209110        0.3588
BFGS:   36 14:53:12       -4.233201        0.3597
BFGS:   37 14:53:12       -4.247677        0.3135
BFGS:   38 14:53:12       -4.261949        0.3521
BFGS:   39 14:53:12       -4.272989        0.4731
BFGS:   40 14:53:12       -4.305484        0.7978
BFGS:   41 14:53:12       -4.333893        0.9969
BFGS:   42 14:53:12       -4.367452        0.9427
BFGS:   43 14:53:12       -4.415336        0.7023
BFGS:   44 14:53:12       -4.452295        0.2890
BFGS:   45 14:53:12       -4.462630        0.2538
BFGS:   46 14:53:12       -4.467186        0.2246
BFGS:   47 14:53:12       -4.475708        0.2910
BFGS:   48 14:53:12       -4.481287        0.2368
BFGS:   49 14:53:12       -4.487412        0.2359
BFGS:   50 14:53:12       -4.493219        0.2560
BFGS:   51 14:53:12       -4.505007        0.3655
BFGS:   52 14:53:12       -4.532905        0.6519
BFGS:   53 14:53:12       -4.579280        1.0352
BFGS:   54 14:53:12       -4.620408        1.3306
BFGS:   55 14:53:12       -4.653805        1.3433
BFGS:   56 14:53:12       -4.761020        0.9393
BFGS:   57 14:53:12       -4.980273        0.9858
BFGS:   58 14:53:12       -5.077814        0.8247
BFGS:   59 14:53:12       -5.118883        0.7727
BFGS:   60 14:53:12       -5.076898        1.0006
BFGS:   61 14:53:12       -5.153905        0.5824
BFGS:   62 14:53:12       -5.179163        0.7270
BFGS:   63 14:53:12       -5.268655        1.3043
BFGS:   64 14:53:12       -5.327160        1.6943
BFGS:   65 14:53:12       -5.440998        1.0751
