       Step     Time          Energy         fmax
GPMin:    0 15:41:24       -3.168798        1.3504
GPMin:    1 15:41:30       -4.009498        0.6013
GPMin:    2 15:41:37       -4.287050        0.2563
GPMin:    3 15:41:42       -4.353278        0.0979
GPMin:    4 15:41:47       -4.362592        0.1242
GPMin:    5 15:41:52       -4.375781        0.1094
GPMin:    6 15:42:13       -4.399115        0.1044
GPMin:    7 15:42:26       -4.408399        0.0657
GPMin:    8 15:42:40       -4.411323        0.1960
GPMin:    9 15:42:46       -4.426914        0.1557
GPMin:   10 15:42:59       -4.444915        0.0802
GPMin:   11 15:43:12       -4.447906        0.0849
GPMin:   12 15:43:19       -4.461818        0.1032
GPMin:   13 15:43:25       -4.469340        0.0594
GPMin:   14 15:43:31       -4.476801        0.0948
GPMin:   15 15:43:36       -4.480775        0.1061
GPMin:   16 15:43:43       -4.523457        0.1896
GPMin:   17 15:43:50       -4.552718        0.2086
GPMin:   18 15:43:56       -4.603971        0.2101
GPMin:   19 15:44:02       -4.626344        0.2071
GPMin:   20 15:44:10       -4.776569        0.1470
GPMin:   21 15:44:17       -4.796647        0.2536
GPMin:   22 15:44:30       -4.810238        0.2031
GPMin:   23 15:44:36       -4.838977        0.0927
GPMin:   24 15:44:41       -4.852434        0.0765
GPMin:   25 15:44:47       -4.859579        0.0901
GPMin:   26 15:44:52       -4.865116        0.0699
GPMin:   27 15:44:57       -4.876147        0.0539
GPMin:   28 15:45:02       -4.882699        0.0383
GPMin:   29 15:45:07       -4.886428        0.0273
GPMin:   30 15:45:13       -4.887634        0.0279
GPMin:   31 15:45:18       -4.888422        0.0249
GPMin:   32 15:45:23       -4.889145        0.0236
GPMin:   33 15:45:27       -4.889475        0.0189
       Step     Time          Energy         fmax
GPMin:    0 15:45:37       -3.244542        0.8631
GPMin:    1 15:45:45       -3.732816        0.3826
GPMin:    2 15:45:52       -3.900592        0.1987
GPMin:    3 15:45:59       -3.958234        0.1452
GPMin:    4 15:46:05       -3.980430        0.1600
GPMin:    5 15:46:13       -4.023250        0.1899
GPMin:    6 15:46:18       -4.037819        0.1998
GPMin:    7 15:46:27       -4.222430        0.2444
GPMin:    8 15:46:36       -4.291813        0.2951
GPMin:    9 15:46:53       -4.326166        0.3003
GPMin:   10 15:47:00       -4.403410        0.1757
GPMin:   11 15:47:07       -4.430064        0.1465
GPMin:   12 15:47:13       -4.447956        0.1744
GPMin:   13 15:47:19       -4.475615        0.1950
GPMin:   14 15:47:26       -4.502231        0.1766
GPMin:   15 15:47:33       -4.547303        0.1287
GPMin:   16 15:47:39       -4.579308        0.1364
GPMin:   17 15:47:46       -4.624989        0.1465
GPMin:   18 15:47:52       -4.664308        0.1718
GPMin:   19 15:47:58       -4.700626        0.1725
GPMin:   20 15:48:04       -4.735979        0.1315
GPMin:   21 15:48:10       -4.762513        0.0765
GPMin:   22 15:48:16       -4.775904        0.0534
GPMin:   23 15:48:21       -4.782422        0.0416
GPMin:   24 15:48:26       -4.785340        0.0424
GPMin:   25 15:48:32       -4.787702        0.0325
GPMin:   26 15:48:37       -4.790061        0.0271
GPMin:   27 15:48:42       -4.790696        0.0250
GPMin:   28 15:48:47       -4.791347        0.0523
GPMin:   29 15:48:53       -4.792259        0.0214
GPMin:   30 15:48:57       -4.792671        0.0221
GPMin:   31 15:49:03       -4.793858        0.0229
GPMin:   32 15:49:08       -4.794694        0.0156
       Step     Time          Energy         fmax
GPMin:    0 15:49:20       -3.243626        1.3221
GPMin:    1 15:49:28       -3.939364        0.6008
GPMin:    2 15:49:36       -4.188990        0.2833
GPMin:    3 15:49:43       -4.275277        0.1416
GPMin:    4 15:49:49       -4.301164        0.1341
GPMin:    5 15:49:56       -4.315340        0.1374
GPMin:    6 15:50:03       -4.340569        0.1463
GPMin:    7 15:50:27       -4.367284        0.1641
GPMin:    8 15:50:42       -4.399088        0.2558
GPMin:    9 15:50:49       -4.428316        0.2463
GPMin:   10 15:50:55       -4.454449        0.2163
GPMin:   11 15:51:01       -4.494799        0.1782
GPMin:   12 15:51:07       -4.528409        0.1506
GPMin:   13 15:51:13       -4.562246        0.1246
GPMin:   14 15:51:18       -4.591450        0.1119
GPMin:   15 15:51:24       -4.619531        0.1026
GPMin:   16 15:51:29       -4.645419        0.0939
GPMin:   17 15:51:35       -4.669032        0.0904
GPMin:   18 15:51:41       -4.695871        0.0852
GPMin:   19 15:51:46       -4.722297        0.0845
GPMin:   20 15:51:52       -4.751566        0.0776
GPMin:   21 15:51:58       -4.777968        0.0807
GPMin:   22 15:52:03       -4.806555        0.0854
GPMin:   23 15:52:09       -4.833838        0.0876
GPMin:   24 15:52:15       -4.860825        0.0841
GPMin:   25 15:52:20       -4.885978        0.0737
GPMin:   26 15:52:26       -4.906619        0.0560
GPMin:   27 15:52:31       -4.920510        0.0381
GPMin:   28 15:52:36       -4.927046        0.0276
GPMin:   29 15:52:41       -4.929618        0.0220
GPMin:   30 15:52:45       -4.930983        0.0221
GPMin:   31 15:52:49       -4.931505        0.0189
       Step     Time          Energy         fmax
GPMin:    0 15:52:59       -3.169136        1.3524
GPMin:    1 15:53:05       -4.009984        0.6035
GPMin:    2 15:53:12       -4.287411        0.2557
GPMin:    3 15:53:18       -4.353095        0.0960
GPMin:    4 15:53:23       -4.362449        0.1239
GPMin:    5 15:53:28       -4.375392        0.1078
GPMin:    6 15:53:49       -4.400502        0.1087
GPMin:    7 15:54:02       -4.407610        0.0865
GPMin:    8 15:54:17       -4.408932        0.1736
GPMin:    9 15:54:23       -4.421445        0.1264
GPMin:   10 15:54:28       -4.429902        0.1018
GPMin:   11 15:54:42       -4.460055        0.1765
GPMin:   12 15:54:48       -4.484930        0.1429
GPMin:   13 15:54:53       -4.499071        0.1591
GPMin:   14 15:55:00       -4.556211        0.2009
GPMin:   15 15:55:05       -4.575153        0.2131
GPMin:   16 15:55:13       -4.728732        0.1997
GPMin:   17 15:55:20       -4.768795        0.2994
GPMin:   18 15:55:32       -4.786576        0.3311
GPMin:   19 15:55:38       -4.836188        0.1051
GPMin:   20 15:55:44       -4.841456        0.0745
GPMin:   21 15:55:49       -4.848260        0.0682
GPMin:   22 15:55:54       -4.859915        0.0591
GPMin:   23 15:55:59       -4.870670        0.0492
GPMin:   24 15:56:04       -4.879055        0.0390
GPMin:   25 15:56:09       -4.884348        0.0290
GPMin:   26 15:56:15       -4.887278        0.0168
       Step     Time          Energy         fmax
GPMin:    0 15:56:24       -3.174836        1.3424
GPMin:    1 15:56:30       -4.013524        0.5999
GPMin:    2 15:56:37       -4.289704        0.2558
GPMin:    3 15:56:43       -4.355444        0.0969
GPMin:    4 15:56:48       -4.364747        0.1236
GPMin:    5 15:56:53       -4.377872        0.1080
GPMin:    6 15:57:14       -4.401517        0.1070
GPMin:    7 15:57:28       -4.409416        0.0850
GPMin:    8 15:57:48       -4.423394        0.1636
GPMin:    9 15:57:54       -4.434722        0.0863
GPMin:   10 15:58:08       -4.441606        0.0633
GPMin:   11 15:58:15       -4.466336        0.0621
GPMin:   12 15:58:20       -4.469730        0.0793
GPMin:   13 15:58:27       -4.520441        0.2124
GPMin:   14 15:58:34       -4.550620        0.2098
GPMin:   15 15:58:39       -4.581601        0.2179
GPMin:   16 15:58:45       -4.609448        0.2122
GPMin:   17 15:58:52       -4.667080        0.1801
GPMin:   18 15:58:58       -4.690855        0.1650
GPMin:   19 15:59:05       -4.774535        0.1466
GPMin:   20 15:59:12       -4.793992        0.2292
GPMin:   21 15:59:18       -4.812091        0.2316
GPMin:   22 15:59:23       -4.840762        0.1144
GPMin:   23 15:59:29       -4.852500        0.0912
GPMin:   24 15:59:34       -4.859550        0.0835
GPMin:   25 15:59:39       -4.872279        0.0693
GPMin:   26 15:59:44       -4.881219        0.0378
GPMin:   27 15:59:49       -4.883876        0.0314
GPMin:   28 15:59:54       -4.886013        0.0288
GPMin:   29 16:00:00       -4.887542        0.0302
GPMin:   30 16:00:03       -4.888192        0.0310
GPMin:   31 16:00:08       -4.889372        0.0129
       Step     Time          Energy         fmax
GPMin:    0 16:00:17       -3.161670        1.3520
GPMin:    1 16:00:23       -4.006405        0.6039
GPMin:    2 16:00:30       -4.286085        0.2601
GPMin:    3 16:00:35       -4.353257        0.0963
GPMin:    4 16:00:41       -4.362475        0.1240
GPMin:    5 16:00:46       -4.375571        0.1069
GPMin:    6 16:01:07       -4.399082        0.1109
GPMin:    7 16:01:21       -4.407184        0.0953
GPMin:    8 16:01:35       -4.407739        0.1866
GPMin:    9 16:01:41       -4.423402        0.1237
GPMin:   10 16:01:47       -4.429472        0.0935
GPMin:   11 16:01:53       -4.449368        0.0546
GPMin:   12 16:01:58       -4.451319        0.0544
GPMin:   13 16:02:04       -4.488658        0.1914
GPMin:   14 16:02:11       -4.494218        0.1619
GPMin:   15 16:02:24       -4.534021        0.2018
GPMin:   16 16:02:31       -4.582691        0.2277
GPMin:   17 16:02:37       -4.604120        0.2204
GPMin:   18 16:02:44       -4.686792        0.1650
GPMin:   19 16:02:50       -4.727614        0.1306
GPMin:   20 16:02:55       -4.748810        0.1360
GPMin:   21 16:03:01       -4.770247        0.1167
GPMin:   22 16:03:07       -4.795223        0.1011
GPMin:   23 16:03:12       -4.816734        0.0936
GPMin:   24 16:03:18       -4.839987        0.0804
GPMin:   25 16:03:23       -4.859023        0.0670
GPMin:   26 16:03:28       -4.871664        0.0508
GPMin:   27 16:03:33       -4.877963        0.0366
GPMin:   28 16:03:39       -4.881567        0.0331
GPMin:   29 16:03:44       -4.885803        0.0267
GPMin:   30 16:03:48       -4.887155        0.0357
GPMin:   31 16:03:54       -4.888939        0.0273
GPMin:   32 16:03:58       -4.889181        0.0184
       Step     Time          Energy         fmax
GPMin:    0 16:04:07       -3.172132        1.3420
GPMin:    1 16:04:14       -4.011548        0.6007
GPMin:    2 16:04:20       -4.288140        0.2556
GPMin:    3 16:04:26       -4.353913        0.0975
GPMin:    4 16:04:31       -4.363066        0.1241
GPMin:    5 16:04:36       -4.376763        0.1048
GPMin:    6 16:04:58       -4.397539        0.1102
GPMin:    7 16:05:10       -4.414130        0.0845
GPMin:    8 16:05:31       -4.425871        0.1573
GPMin:    9 16:05:37       -4.427025        0.1392
GPMin:   10 16:06:04       -4.430223        0.1098
GPMin:   11 16:06:11       -4.430461        0.2564
GPMin:   12 16:06:18       -4.479515        0.1138
GPMin:   13 16:06:25       -4.487327        0.1491
GPMin:   14 16:06:31       -4.498732        0.2310
GPMin:   15 16:06:38       -4.540516        0.2430
GPMin:   16 16:06:44       -4.564419        0.2415
GPMin:   17 16:06:50       -4.640191        0.2050
GPMin:   18 16:06:57       -4.671145        0.1831
GPMin:   19 16:07:04       -4.739394        0.1422
GPMin:   20 16:07:10       -4.742385        0.2322
GPMin:   21 16:07:16       -4.756732        0.1794
GPMin:   22 16:07:22       -4.801278        0.1094
GPMin:   23 16:07:28       -4.807506        0.1051
GPMin:   24 16:07:33       -4.821321        0.1064
GPMin:   25 16:07:39       -4.838970        0.0946
GPMin:   26 16:07:45       -4.855989        0.0719
GPMin:   27 16:07:51       -4.867504        0.0547
GPMin:   28 16:07:56       -4.875231        0.0415
GPMin:   29 16:08:01       -4.880842        0.0338
GPMin:   30 16:08:06       -4.884737        0.0300
GPMin:   31 16:08:11       -4.887244        0.0377
GPMin:   32 16:08:16       -4.888671        0.0245
GPMin:   33 16:08:20       -4.888922        0.0214
GPMin:   34 16:08:25       -4.889614        0.0176
       Step     Time          Energy         fmax
GPMin:    0 16:08:34       -3.392172        1.2316
GPMin:    1 16:08:42       -3.961666        0.4704
GPMin:    2 16:08:48       -4.151482        0.3409
GPMin:    3 16:08:54       -4.250467        0.2231
GPMin:    4 16:09:01       -4.299874        0.1916
GPMin:    5 16:09:07       -4.326779        0.1693
GPMin:    6 16:09:14       -4.395764        0.1921
GPMin:    7 16:09:19       -4.406080        0.1808
GPMin:    8 16:09:26       -4.427476        0.1489
GPMin:    9 16:09:32       -4.455191        0.1398
GPMin:   10 16:09:38       -4.480547        0.1127
GPMin:   11 16:09:44       -4.504271        0.1165
GPMin:   12 16:09:50       -4.533513        0.1361
GPMin:   13 16:09:57       -4.572110        0.1147
GPMin:   14 16:10:03       -4.611862        0.1164
GPMin:   15 16:10:09       -4.649765        0.1265
GPMin:   16 16:10:15       -4.693262        0.1212
GPMin:   17 16:10:21       -4.733612        0.1141
GPMin:   18 16:10:28       -4.766307        0.0904
GPMin:   19 16:10:34       -4.785730        0.0556
GPMin:   20 16:10:39       -4.793546        0.0405
GPMin:   21 16:10:45       -4.796972        0.0455
GPMin:   22 16:10:50       -4.801849        0.0517
GPMin:   23 16:10:55       -4.805476        0.0551
GPMin:   24 16:11:00       -4.811062        0.0381
GPMin:   25 16:11:05       -4.814314        0.0433
GPMin:   26 16:11:10       -4.820605        0.0541
GPMin:   27 16:11:15       -4.826759        0.0486
GPMin:   28 16:11:21       -4.834376        0.0531
GPMin:   29 16:11:27       -4.846205        0.0653
GPMin:   30 16:11:32       -4.858743        0.0564
