       Step     Time          Energy         fmax
GPMin:    0 16:54:35       -4.269965        0.3197
GPMin:    1 16:54:43       -4.450146        0.1417
GPMin:    2 16:54:50       -4.487067        0.0808
GPMin:    3 16:54:55       -4.500964        0.0764
GPMin:    4 16:55:01       -4.512658        0.0672
GPMin:    5 16:55:07       -4.519432        0.0594
GPMin:    6 16:55:13       -4.529553        0.0658
GPMin:    7 16:55:19       -4.536886        0.0784
GPMin:    8 16:55:25       -4.577403        0.1048
GPMin:    9 16:55:32       -4.606343        0.1116
GPMin:   10 16:55:38       -4.632794        0.1101
GPMin:   11 16:55:45       -4.659192        0.1015
GPMin:   12 16:55:51       -4.686249        0.0921
GPMin:   13 16:55:57       -4.713383        0.0877
GPMin:   14 16:56:02       -4.742105        0.0863
GPMin:   15 16:56:08       -4.773105        0.0808
GPMin:   16 16:56:14       -4.805609        0.0722
GPMin:   17 16:56:20       -4.835573        0.0718
GPMin:   18 16:56:26       -4.862741        0.0751
GPMin:   19 16:56:31       -4.885244        0.0814
GPMin:   20 16:56:37       -4.902884        0.0676
GPMin:   21 16:56:42       -4.914516        0.0605
GPMin:   22 16:56:47       -4.924220        0.0574
GPMin:   23 16:56:52       -4.929125        0.0408
GPMin:   24 16:56:57       -4.931249        0.0339
GPMin:   25 16:57:02       -4.933445        0.0139
       Step     Time          Energy         fmax
GPMin:    0 16:57:12       -4.370298        0.3801
GPMin:    1 16:57:19       -4.513043        0.1472
GPMin:    2 16:57:26       -4.553413        0.1444
GPMin:    3 16:57:32       -4.602411        0.1554
GPMin:    4 16:57:39       -4.659493        0.1741
GPMin:    5 16:57:45       -4.710266        0.1559
GPMin:    6 16:57:51       -4.755041        0.1138
GPMin:    7 16:57:57       -4.800475        0.1050
GPMin:    8 16:58:02       -4.845482        0.0807
GPMin:    9 16:58:07       -4.872861        0.0610
GPMin:   10 16:58:12       -4.883460        0.0392
GPMin:   11 16:58:17       -4.886857        0.0355
GPMin:   12 16:58:22       -4.888872        0.0156
       Step     Time          Energy         fmax
GPMin:    0 16:58:37       -3.775543        0.3561
GPMin:    1 16:58:45       -3.978973        0.3416
GPMin:    2 16:58:52       -4.120372        0.3004
GPMin:    3 16:58:58       -4.207419        0.2520
GPMin:    4 16:59:05       -4.256926        0.1906
GPMin:    5 16:59:11       -4.283417        0.1972
GPMin:    6 16:59:25       -4.354658        0.2715
GPMin:    7 16:59:32       -4.385402        0.2830
GPMin:    8 16:59:39       -4.478561        0.2573
GPMin:    9 16:59:46       -4.543129        0.2031
GPMin:   10 16:59:52       -4.594804        0.1514
GPMin:   11 16:59:59       -4.640090        0.1394
GPMin:   12 17:00:05       -4.684288        0.1537
GPMin:   13 17:00:11       -4.718488        0.1444
GPMin:   14 17:00:17       -4.745541        0.1091
GPMin:   15 17:00:23       -4.770441        0.0920
GPMin:   16 17:00:28       -4.793209        0.1101
GPMin:   17 17:00:34       -4.819579        0.1064
GPMin:   18 17:00:40       -4.844520        0.0914
GPMin:   19 17:00:45       -4.866961        0.0754
GPMin:   20 17:00:50       -4.888203        0.0680
GPMin:   21 17:00:56       -4.903561        0.0528
GPMin:   22 17:01:01       -4.915792        0.0417
GPMin:   23 17:01:06       -4.922792        0.0428
GPMin:   24 17:01:10       -4.928189        0.0356
GPMin:   25 17:01:16       -4.930980        0.0221
GPMin:   26 17:01:20       -4.932031        0.0181
       Step     Time          Energy         fmax
GPMin:    0 17:01:29       -4.621110        0.2334
GPMin:    1 17:01:36       -4.733379        0.1774
GPMin:    2 17:01:42       -4.796883        0.1163
GPMin:    3 17:01:49       -4.835377        0.0758
GPMin:    4 17:01:55       -4.856092        0.0575
GPMin:    5 17:02:01       -4.865551        0.0615
GPMin:    6 17:02:06       -4.872892        0.0461
GPMin:    7 17:02:12       -4.880343        0.0323
GPMin:    8 17:02:17       -4.886637        0.0256
GPMin:    9 17:02:21       -4.889087        0.0177
       Step     Time          Energy         fmax
GPMin:    0 17:02:34       -3.678763        0.3546
GPMin:    1 17:02:42       -3.936369        0.3190
GPMin:    2 17:02:49       -4.077532        0.2455
GPMin:    3 17:02:56       -4.165194        0.1928
GPMin:    4 17:03:01       -4.212656        0.1850
GPMin:    5 17:03:09       -4.354500        0.1450
GPMin:    6 17:03:14       -4.370483        0.1107
GPMin:    7 17:03:20       -4.387909        0.0741
GPMin:    8 17:03:25       -4.398359        0.0599
GPMin:    9 17:03:31       -4.409827        0.0496
GPMin:   10 17:03:36       -4.416995        0.0420
GPMin:   11 17:03:42       -4.431603        0.0484
GPMin:   12 17:03:47       -4.437954        0.0443
GPMin:   13 17:03:53       -4.444832        0.0380
GPMin:   14 17:03:59       -4.450070        0.0279
GPMin:   15 17:04:04       -4.452584        0.0318
GPMin:   16 17:04:09       -4.455550        0.0362
GPMin:   17 17:04:14       -4.461283        0.0385
GPMin:   18 17:04:19       -4.467990        0.0442
GPMin:   19 17:04:25       -4.478905        0.0701
GPMin:   20 17:04:30       -4.504251        0.0890
GPMin:   21 17:04:36       -4.552559        0.1136
GPMin:   22 17:04:42       -4.614123        0.1414
GPMin:   23 17:04:47       -4.693028        0.1576
GPMin:   24 17:04:53       -4.773490        0.1591
GPMin:   25 17:04:59       -4.834424        0.1336
GPMin:   26 17:05:05       -4.865021        0.0876
GPMin:   27 17:05:10       -4.874193        0.0826
GPMin:   28 17:05:15       -4.881080        0.0918
GPMin:   29 17:05:20       -4.894301        0.0779
GPMin:   30 17:05:25       -4.906353        0.0555
GPMin:   31 17:05:31       -4.914049        0.0444
GPMin:   32 17:05:36       -4.919361        0.0508
GPMin:   33 17:05:41       -4.925719        0.0487
