       Step     Time          Energy         fmax
GPMin:    0 15:42:53       -4.427467        1.4668
GPMin:    1 15:43:02       -5.570243        0.8087
GPMin:    2 15:43:11       -6.081472        0.4716
GPMin:    3 15:43:19       -6.310504        0.3043
GPMin:    4 15:43:26       -6.385446        0.2403
GPMin:    5 15:43:33       -6.496027        0.2165
GPMin:    6 15:43:41       -6.512461        0.1693
GPMin:    7 15:43:50       -6.571972        0.2384
GPMin:    8 15:43:58       -6.592247        0.2540
GPMin:    9 15:44:06       -6.618751        0.2509
GPMin:   10 15:44:13       -6.673049        0.2336
GPMin:   11 15:44:19       -6.770111        0.2372
GPMin:   12 15:44:25       -6.876082        0.2398
GPMin:   13 15:44:32       -6.973879        0.2268
GPMin:   14 15:44:38       -7.052133        0.1937
GPMin:   15 15:44:44       -7.105970        0.1436
GPMin:   16 15:44:50       -7.142708        0.1363
GPMin:   17 15:44:57       -7.171839        0.1338
GPMin:   18 15:45:03       -7.196399        0.1077
GPMin:   19 15:45:09       -7.214106        0.0727
GPMin:   20 15:45:16       -7.224940        0.0444
GPMin:   21 15:45:22       -7.230969        0.0462
GPMin:   22 15:45:28       -7.234246        0.0389
GPMin:   23 15:45:34       -7.236288        0.0268
GPMin:   24 15:45:39       -7.237915        0.0262
GPMin:   25 15:45:45       -7.238690        0.0208
GPMin:   26 15:45:51       -7.239201        0.0126
       Step     Time          Energy         fmax
GPMin:    0 15:46:03       -4.943381        1.4743
GPMin:    1 15:46:12       -6.039795        0.7824
GPMin:    2 15:46:19       -6.518191        0.4168
GPMin:    3 15:46:27       -6.736273        0.2354
GPMin:    4 15:46:35       -6.814917        0.1465
GPMin:    5 15:46:42       -6.831880        0.0968
GPMin:    6 15:46:49       -6.837236        0.0816
GPMin:    7 15:46:56       -6.855771        0.0868
GPMin:    8 15:47:02       -6.873964        0.0978
GPMin:    9 15:47:08       -6.891754        0.1141
GPMin:   10 15:47:16       -6.912319        0.1241
GPMin:   11 15:47:23       -6.939637        0.1272
GPMin:   12 15:47:30       -6.971816        0.1189
GPMin:   13 15:47:37       -7.008714        0.1052
GPMin:   14 15:47:44       -7.047635        0.1249
GPMin:   15 15:47:51       -7.093123        0.1370
GPMin:   16 15:47:58       -7.137599        0.1314
GPMin:   17 15:48:05       -7.176576        0.1031
GPMin:   18 15:48:12       -7.202112        0.0585
GPMin:   19 15:48:18       -7.212200        0.0544
GPMin:   20 15:48:25       -7.214593        0.0460
GPMin:   21 15:48:31       -7.216776        0.0350
GPMin:   22 15:48:37       -7.217975        0.0199
       Step     Time          Energy         fmax
GPMin:    0 15:48:51       -4.420482        1.4670
GPMin:    1 15:49:00       -5.563327        0.8086
GPMin:    2 15:49:09       -6.074902        0.4705
GPMin:    3 15:49:17       -6.304285        0.3029
GPMin:    4 15:49:24       -6.378920        0.2387
GPMin:    5 15:49:34       -6.487158        0.2146
GPMin:    6 15:49:41       -6.505389        0.1693
GPMin:    7 15:49:50       -6.565272        0.2408
GPMin:    8 15:49:58       -6.583459        0.2622
GPMin:    9 15:50:06       -6.608904        0.2628
GPMin:   10 15:50:13       -6.664171        0.2458
GPMin:   11 15:50:19       -6.764462        0.2330
GPMin:   12 15:50:26       -6.872139        0.2364
GPMin:   13 15:50:33       -6.967909        0.2276
       Step     Time          Energy         fmax
GPMin:    0 15:53:29       -4.420486        1.4668
GPMin:    1 15:53:38       -5.563324        0.8086
GPMin:    2 15:53:47       -6.074872        0.4705
GPMin:    3 15:53:55       -6.304230        0.3030
GPMin:    4 15:54:02       -6.378869        0.2387
GPMin:    5 15:54:11       -6.487304        0.2145
GPMin:    6 15:54:19       -6.505394        0.1693
GPMin:    7 15:54:27       -6.565259        0.2409
GPMin:    8 15:54:35       -6.583341        0.2624
GPMin:    9 15:54:43       -6.608733        0.2631
GPMin:   10 15:54:50       -6.664035        0.2460
GPMin:   11 15:54:56       -6.764296        0.2328
GPMin:   12 15:55:03       -6.871736        0.2364
GPMin:   13 15:55:09       -6.967365        0.2277
GPMin:   14 15:55:15       -7.045961        0.2027
GPMin:   15 15:55:22       -7.102277        0.1611
GPMin:   16 15:55:28       -7.141921        0.1336
GPMin:   17 15:55:34       -7.172550        0.1316
GPMin:   18 15:55:40       -7.195903        0.1120
GPMin:   19 15:55:46       -7.213410        0.0793
GPMin:   20 15:55:52       -7.225005        0.0449
GPMin:   21 15:55:58       -7.231356        0.0444
GPMin:   22 15:56:05       -7.234856        0.0387
GPMin:   23 15:56:10       -7.236256        0.0300
GPMin:   24 15:56:16       -7.237659        0.0334
GPMin:   25 15:56:22       -7.238536        0.0219
GPMin:   26 15:56:27       -7.239103        0.0140
       Step     Time          Energy         fmax
GPMin:    0 15:56:39       -4.971872        1.4870
GPMin:    1 15:56:47       -5.970556        0.7615
GPMin:    2 15:56:55       -6.395937        0.4000
GPMin:    3 15:57:03       -6.587868        0.2380
GPMin:    4 15:57:11       -6.658051        0.1252
GPMin:    5 15:57:19       -6.676724        0.1003
GPMin:    6 15:57:26       -6.685514        0.1036
GPMin:    7 15:57:33       -6.702256        0.0946
GPMin:    8 15:57:40       -6.719774        0.1232
GPMin:    9 15:57:47       -6.741958        0.1471
GPMin:   10 15:57:54       -6.769762        0.1561
GPMin:   11 15:58:01       -6.805725        0.1589
GPMin:   12 15:58:08       -6.849276        0.1469
GPMin:   13 15:58:15       -6.895349        0.1278
GPMin:   14 15:58:22       -6.943474        0.1426
GPMin:   15 15:58:29       -6.992884        0.1562
GPMin:   16 15:58:36       -7.040949        0.1613
GPMin:   17 15:58:43       -7.092051        0.1546
GPMin:   18 15:58:50       -7.134068        0.1370
GPMin:   19 15:58:57       -7.165211        0.1108
GPMin:   20 15:59:04       -7.181156        0.0970
GPMin:   21 15:59:11       -7.190905        0.0978
GPMin:   22 15:59:18       -7.206640        0.0947
GPMin:   23 15:59:26       -7.221617        0.0635
GPMin:   24 15:59:32       -7.235358        0.0651
GPMin:   25 15:59:38       -7.248263        0.0707
GPMin:   26 15:59:44       -7.259883        0.0583
GPMin:   27 15:59:51       -7.269823        0.0523
GPMin:   28 15:59:57       -7.276300        0.0383
GPMin:   29 16:00:03       -7.279481        0.0232
GPMin:   30 16:00:09       -7.280269        0.0207
GPMin:   31 16:00:15       -7.280769        0.0166
       Step     Time          Energy         fmax
GPMin:    0 16:00:25       -5.386739        1.3570
GPMin:    1 16:00:32       -6.503421        0.7507
GPMin:    2 16:00:40       -6.993431        0.4105
GPMin:    3 16:00:46       -7.209369        0.1887
GPMin:    4 16:00:52       -7.273555        0.0528
GPMin:    5 16:00:58       -7.278254        0.0272
GPMin:    6 16:01:02       -7.278540        0.0260
GPMin:    7 16:01:08       -7.280500        0.0110
       Step     Time          Energy         fmax
GPMin:    0 16:01:19       -5.122000        1.6603
GPMin:    1 16:01:28       -6.281252        0.8840
GPMin:    2 16:01:36       -6.792620        0.4899
GPMin:    3 16:01:44       -7.026287        0.2679
GPMin:    4 16:01:52       -7.108444        0.1351
GPMin:    5 16:01:59       -7.123478        0.0705
GPMin:    6 16:02:05       -7.125931        0.0544
GPMin:    7 16:02:12       -7.134346        0.0398
GPMin:    8 16:02:18       -7.137800        0.0383
GPMin:    9 16:02:24       -7.139233        0.0386
GPMin:   10 16:02:30       -7.141227        0.0228
GPMin:   11 16:02:36       -7.141737        0.0209
GPMin:   12 16:02:41       -7.141923        0.0159
       Step     Time          Energy         fmax
GPMin:    0 16:02:52       -5.120524        1.6559
GPMin:    1 16:03:01       -6.279889        0.8826
GPMin:    2 16:03:09       -6.791423        0.4877
GPMin:    3 16:03:17       -7.025372        0.2679
GPMin:    4 16:03:25       -7.108493        0.1347
GPMin:    5 16:03:32       -7.123303        0.0697
GPMin:    6 16:03:38       -7.125784        0.0530
GPMin:    7 16:03:45       -7.134349        0.0383
GPMin:    8 16:03:52       -7.137604        0.0386
GPMin:    9 16:03:57       -7.139176        0.0383
GPMin:   10 16:04:04       -7.141095        0.0218
GPMin:   11 16:04:09       -7.141475        0.0199
       Step     Time          Energy         fmax
GPMin:    0 16:04:22       -4.943607        1.4745
GPMin:    1 16:04:31       -6.040410        0.7843
GPMin:    2 16:04:38       -6.518755        0.4170
GPMin:    3 16:04:46       -6.736941        0.2365
GPMin:    4 16:04:54       -6.815451        0.1486
GPMin:    5 16:05:01       -6.832647        0.0996
GPMin:    6 16:05:08       -6.838019        0.0838
GPMin:    7 16:05:15       -6.856768        0.0872
GPMin:    8 16:05:22       -6.874963        0.0984
GPMin:    9 16:05:29       -6.893637        0.1147
GPMin:   10 16:05:36       -6.915086        0.1232
GPMin:   11 16:05:43       -6.943977        0.1275
GPMin:   12 16:05:50       -6.976928        0.1202
GPMin:   13 16:05:57       -7.016160        0.1097
GPMin:   14 16:06:04       -7.056886        0.1287
GPMin:   15 16:06:11       -7.102476        0.1382
GPMin:   16 16:06:18       -7.146949        0.1286
GPMin:   17 16:06:25       -7.183650        0.0935
GPMin:   18 16:06:32       -7.205055        0.0570
GPMin:   19 16:06:39       -7.212047        0.0525
GPMin:   20 16:06:45       -7.213793        0.0440
GPMin:   21 16:06:51       -7.216177        0.0311
GPMin:   22 16:06:57       -7.216843        0.0185
       Step     Time          Energy         fmax
GPMin:    0 16:07:08       -5.122109        1.6567
GPMin:    1 16:07:17       -6.280690        0.8836
GPMin:    2 16:07:25       -6.792005        0.4882
GPMin:    3 16:07:33       -7.025126        0.2677
GPMin:    4 16:07:41       -7.107695        0.1360
GPMin:    5 16:07:48       -7.122961        0.0703
GPMin:    6 16:07:54       -7.125451        0.0536
GPMin:    7 16:08:01       -7.133791        0.0398
GPMin:    8 16:08:07       -7.137218        0.0374
GPMin:    9 16:08:13       -7.138704        0.0378
GPMin:   10 16:08:20       -7.140816        0.0233
GPMin:   11 16:08:25       -7.141243        0.0213
GPMin:   12 16:08:30       -7.141449        0.0162
       Step     Time          Energy         fmax
GPMin:    0 16:08:41       -5.047571        1.4830
GPMin:    1 16:08:50       -5.987597        0.7121
GPMin:    2 16:08:58       -6.398760        0.3769
GPMin:    3 16:09:06       -6.592261        0.2236
GPMin:    4 16:09:13       -6.667450        0.1279
GPMin:    5 16:09:20       -6.689399        0.1183
GPMin:    6 16:09:27       -6.698922        0.1121
GPMin:    7 16:09:34       -6.715159        0.0935
GPMin:    8 16:09:40       -6.730963        0.0735
GPMin:    9 16:09:46       -6.744990        0.0674
GPMin:   10 16:09:52       -6.760066        0.0669
GPMin:   11 16:09:59       -6.772914        0.0703
GPMin:   12 16:10:05       -6.786729        0.0756
GPMin:   13 16:10:11       -6.798990        0.0795
GPMin:   14 16:10:17       -6.812741        0.0829
GPMin:   15 16:10:24       -6.827777        0.0884
GPMin:   16 16:10:30       -6.845882        0.0917
GPMin:   17 16:10:36       -6.867755        0.0948
GPMin:   18 16:10:42       -6.892488        0.1029
GPMin:   19 16:10:49       -6.919996        0.1024
GPMin:   20 16:10:55       -6.947256        0.0956
GPMin:   21 16:11:01       -6.969027        0.0722
GPMin:   22 16:11:07       -6.982364        0.0580
GPMin:   23 16:11:14       -6.988137        0.0575
GPMin:   24 16:11:20       -6.992639        0.0520
GPMin:   25 16:11:26       -6.996782        0.0446
GPMin:   26 16:11:33       -7.000265        0.0478
GPMin:   27 16:11:39       -7.004289        0.0670
GPMin:   28 16:11:45       -7.007320        0.0650
GPMin:   29 16:11:52       -7.013331        0.0513
