Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -284.4147    -295.2383      10.8236  1147.1
0.0010        -285.1009    -308.3663      23.2655  2465.6
0.0015        -285.2555    -317.6750      32.4195  3435.7
0.0020        -285.8526    -322.7656      36.9129  3911.9
0.0025        -287.0508    -325.3906      38.3398  4063.2
0.0030        -288.8112    -326.7656      37.9544  4022.3
0.0035        -291.0411    -327.5968      36.5557  3874.1
0.0040        -293.6317    -328.2076      34.5759  3664.3
0.0045        -296.4578    -328.6742      32.2164  3414.2
0.0050        -299.4134    -329.0219      29.6085  3137.8
0.0055        -302.4026    -329.2830      26.8804  2848.7
0.0060        -305.3413    -329.4898      24.1486  2559.2
0.0065        -308.1579    -329.6379      21.4801  2276.4
0.0070        -310.7915    -329.6876      18.8961  2002.6
0.0075        -313.1942    -329.6064      16.4122  1739.3
0.0080        -315.3407    -329.4057      14.0651  1490.6
0.0085        -317.2168    -329.1277      11.9109  1262.3
0.0090        -318.8340    -328.8497      10.0157  1061.4
0.0095        -320.2176    -328.6545       8.4369   894.1
0.0100        -321.4073    -328.6064       7.1991   762.9
0.0105        -322.4472    -328.7134       6.2662   664.1
0.0110        -323.3698    -328.9257       5.5559   588.8
0.0115        -324.1976    -329.1795       4.9819   528.0
0.0120        -324.9433    -329.4289       4.4856   475.4
0.0125        -325.6158    -329.6566       4.0408   428.2
0.0130        -326.2225    -329.8665       3.6441   386.2
0.0135        -326.7707    -330.0698       3.2990   349.6
0.0140        -327.2685    -330.2747       3.0063   318.6
0.0145        -327.7239    -330.4840       2.7601   292.5
0.0150        -328.1429    -330.6943       2.5514   270.4
0.0155        -328.5307    -330.9022       2.3715   251.3
0.0160        -328.8908    -331.1026       2.2118   234.4
0.0165        -329.2260    -331.2934       2.0674   219.1
0.0170        -329.5385    -331.4774       1.9389   205.5
0.0175        -329.8310    -331.6633       1.8323   194.2
0.0180        -330.1082    -331.8675       1.7593   186.4
0.0185        -330.3768    -332.1083       1.7315   183.5
0.0190        -330.6454    -332.3992       1.7538   185.9
0.0195        -330.9210    -332.7345       1.8135   192.2
0.0200        -331.2070    -333.0886       1.8815   199.4
0.0205        -331.5013    -333.4195       1.9182   203.3
0.0210        -331.7953    -333.6761       1.8808   199.3
0.0215        -332.0722    -333.8153       1.7431   184.7
0.0220        -332.3164    -333.8391       1.5228   161.4
0.0225        -332.5225    -333.8141       1.2917   136.9
0.0230        -332.7009    -333.8356       1.1347   120.3
0.0235        -332.8671    -333.9516       1.0845   114.9
0.0240        -333.0324    -334.1452       1.1128   117.9
0.0245        -333.2031    -334.3758       1.1728   124.3
0.0250        -333.3813    -334.6066       1.2253   129.9
0.0255        -333.5632    -334.8026       1.2394   131.3
0.0260        -333.7408    -334.9363       1.1954   126.7
0.0265        -333.9057    -335.0005       1.0947   116.0
0.0270        -334.0519    -335.0078       0.9559   101.3
0.0275        -334.1755    -334.9797       0.8043    85.2
0.0280        -334.2776    -334.9468       0.6692    70.9
0.0285        -334.3635    -334.9435       0.5800    61.5
0.0290        -334.4419    -334.9959       0.5540    58.7
0.0295        -334.5222    -335.1070       0.5848    62.0
0.0300        -334.6092    -335.2511       0.6420    68.0
0.0305        -334.7024    -335.3894       0.6870    72.8
0.0310        -334.7973    -335.4893       0.6920    73.3
0.0315        -334.8874    -335.5394       0.6520    69.1
0.0320        -334.9686    -335.5520       0.5834    61.8
0.0325        -335.0397    -335.5524       0.5127    54.3
0.0330        -335.1029    -335.5648       0.4619    48.9
0.0335        -335.1617    -335.6001       0.4384    46.5
0.0340        -335.2189    -335.6545       0.4356    46.2
0.0345        -335.2759    -335.7175       0.4417    46.8
0.0350        -335.3329    -335.7794       0.4464    47.3
0.0355        -335.3892    -335.8325       0.4434    47.0
0.0360        -335.4438    -335.8750       0.4313    45.7
0.0365        -335.4958    -335.9085       0.4126    43.7
0.0370        -335.5449    -335.9368       0.3919    41.5
0.0375        -335.5913    -335.9649       0.3736    39.6
0.0380        -335.6355    -335.9954       0.3599    38.1
0.0385        -335.6781    -336.0287       0.3506    37.2
0.0390        -335.7194    -336.0634       0.3440    36.5
0.0395        -335.7595    -336.0981       0.3386    35.9
0.0400        -335.7987    -336.1317       0.3329    35.3
0.0405        -335.8367    -336.1630       0.3263    34.6
0.0410        -335.8735    -336.1925       0.3190    33.8
0.0415        -335.9090    -336.2216       0.3126    33.1
0.0420        -335.9437    -336.2521       0.3085    32.7
0.0425        -335.9778    -336.2849       0.3072    32.6
0.0430        -336.0116    -336.3191       0.3075    32.6
0.0435        -336.0450    -336.3521       0.3071    32.5
0.0440        -336.0779    -336.3819       0.3041    32.2
0.0445        -336.1098    -336.4079       0.2980    31.6
0.0450        -336.1407    -336.4306       0.2899    30.7
0.0455        -336.1703    -336.4518       0.2815    29.8
0.0460        -336.1987    -336.4732       0.2744    29.1
0.0465        -336.2263    -336.4964       0.2702    28.6
0.0470        -336.2533    -336.5226       0.2693    28.5
0.0475        -336.2801    -336.5516       0.2714    28.8
0.0480        -336.3070    -336.5822       0.2752    29.2
0.0485        -336.3339    -336.6128       0.2790    29.6
0.0490        -336.3608    -336.6418       0.2811    29.8
0.0495        -336.3873    -336.6678       0.2805    29.7
0.0500        -336.4134    -336.6907       0.2773    29.4
0.0505        -336.4387    -336.7115       0.2729    28.9
0.0510        -336.4633    -336.7327       0.2694    28.6
0.0515        -336.4875    -336.7563       0.2688    28.5
0.0520        -336.5116    -336.7835       0.2719    28.8
0.0525        -336.5359    -336.8139       0.2780    29.5
0.0530        -336.5604    -336.8460       0.2855    30.3
0.0535        -336.5853    -336.8784       0.2930    31.1
0.0540        -336.6105    -336.9102       0.2997    31.8
0.0545        -336.6358    -336.9415       0.3057    32.4
0.0550        -336.6612    -336.9730       0.3118    33.0
0.0555        -336.6869    -337.0055       0.3186    33.8
0.0560        -336.7128    -337.0390       0.3262    34.6
0.0565        -336.7391    -337.0728       0.3337    35.4
0.0570        -336.7655    -337.1058       0.3403    36.1
0.0575        -336.7922    -337.1366       0.3444    36.5
0.0580        -336.8187    -337.1628       0.3441    36.5
0.0585        -336.8443    -337.1815       0.3371    35.7
0.0590        -336.8688    -337.1920       0.3232    34.3
0.0595        -336.8915    -337.1947       0.3033    32.1
0.0600        -336.9120    -337.1922       0.2802    29.7
0.0605        -336.9306    -337.1897       0.2592    27.5
0.0610        -336.9477    -337.1934       0.2457    26.0
0.0615        -336.9642    -337.2070       0.2429    25.7
0.0620        -336.9808    -337.2314       0.2506    26.6
0.0625        -336.9980    -337.2635       0.2655    28.1
0.0630        -337.0160    -337.2979       0.2819    29.9
0.0635        -337.0345    -337.3292       0.2947    31.2
0.0640        -337.0531    -337.3543       0.3012    31.9
0.0645        -337.0715    -337.3725       0.3010    31.9
0.0650        -337.0893    -337.3851       0.2958    31.3
0.0655        -337.1064    -337.3943       0.2879    30.5
0.0660        -337.1226    -337.4021       0.2794    29.6
0.0665        -337.1381    -337.4100       0.2718    28.8
0.0670        -337.1530    -337.4191       0.2661    28.2
0.0675        -337.1674    -337.4297       0.2623    27.8
0.0680        -337.1812    -337.4414       0.2602    27.6
0.0685        -337.1947    -337.4541       0.2594    27.5
0.0690        -337.2078    -337.4678       0.2599    27.5
0.0695        -337.2207    -337.4829       0.2621    27.8
0.0700        -337.2335    -337.4999       0.2664    28.2
0.0705        -337.2463    -337.5190       0.2727    28.9
0.0710        -337.2591    -337.5401       0.2810    29.8
0.0715        -337.2721    -337.5622       0.2901    30.7
0.0720        -337.2851    -337.5838       0.2987    31.7
0.0725        -337.2981    -337.6033       0.3052    32.3
0.0730        -337.3110    -337.6195       0.3085    32.7
0.0735        -337.3235    -337.6317       0.3082    32.7
0.0740        -337.3356    -337.6401       0.3045    32.3
0.0745        -337.3470    -337.6455       0.2985    31.6
0.0750        -337.3579    -337.6500       0.2921    31.0
0.0755        -337.3682    -337.6558       0.2876    30.5
0.0760        -337.3782    -337.6647       0.2865    30.4
0.0765        -337.3879    -337.6778       0.2898    30.7
0.0770        -337.3976    -337.6950       0.2974    31.5
0.0775        -337.4072    -337.7152       0.3080    32.6
0.0780        -337.4169    -337.7366       0.3197    33.9
0.0785        -337.4266    -337.7572       0.3306    35.0
0.0790        -337.4361    -337.7754       0.3393    36.0
0.0795        -337.4454    -337.7906       0.3451    36.6
0.0800        -337.4545    -337.8029       0.3484    36.9
0.0805        -337.4632    -337.8130       0.3498    37.1
0.0810        -337.4715    -337.8216       0.3501    37.1
0.0815        -337.4795    -337.8292       0.3498    37.1
0.0820        -337.4870    -337.8365       0.3495    37.0
0.0825        -337.4942    -337.8440       0.3498    37.1
0.0830        -337.5010    -337.8521       0.3511    37.2
0.0835        -337.5074    -337.8612       0.3538    37.5
0.0840        -337.5135    -337.8718       0.3583    38.0
0.0845        -337.5193    -337.8845       0.3652    38.7
0.0850        -337.5249    -337.8993       0.3744    39.7
0.0855        -337.5303    -337.9158       0.3855    40.9
0.0860        -337.5354    -337.9332       0.3978    42.2
0.0865        -337.5404    -337.9501       0.4098    43.4
0.0870        -337.5449    -337.9647       0.4198    44.5
0.0875        -337.5490    -337.9757       0.4267    45.2
0.0880        -337.5527    -337.9828       0.4301    45.6
0.0885        -337.5559    -337.9864       0.4305    45.6
0.0890        -337.5585    -337.9883       0.4298    45.5
0.0895        -337.5607    -337.9907       0.4301    45.6
0.0900        -337.5625    -337.9960       0.4335    45.9
0.0905        -337.5639    -338.0052       0.4413    46.8
0.0910        -337.5650    -338.0180       0.4530    48.0
0.0915        -337.5657    -338.0331       0.4674    49.5
0.0920        -337.5659    -338.0485       0.4826    51.1
0.0925        -337.5656    -338.0623       0.4967    52.6
0.0930        -337.5647    -338.0732       0.5085    53.9
0.0935        -337.5632    -338.0810       0.5178    54.9
0.0940        -337.5611    -338.0861       0.5250    55.6
0.0945        -337.5585    -338.0894       0.5310    56.3
0.0950        -337.5552    -338.0919       0.5367    56.9
0.0955        -337.5514    -338.0946       0.5432    57.6
0.0960        -337.5469    -338.0987       0.5518    58.5
0.0965        -337.5418    -338.1050       0.5632    59.7
0.0970        -337.5360    -338.1140       0.5780    61.3
0.0975        -337.5295    -338.1256       0.5961    63.2
0.0980        -337.5222    -338.1390       0.6169    65.4
0.0985        -337.5140    -338.1532       0.6392    67.7
0.0990        -337.5048    -338.1664       0.6615    70.1
0.0995        -337.4947    -338.1771       0.6824    72.3
0.1000        -337.4836    -338.1842       0.7007    74.3
0.1005        -337.4714    -338.1875       0.7161    75.9
0.1010        -337.4583    -338.1875       0.7292    77.3
0.1015        -337.4442    -338.1855       0.7413    78.6
0.1020        -337.4291    -338.1836       0.7545    80.0
0.1025        -337.4130    -338.1841       0.7711    81.7
0.1030        -337.3959    -338.1881       0.7922    84.0
0.1035        -337.3777    -338.1953       0.8176    86.6
0.1040        -337.3581    -338.2040       0.8459    89.7
0.1045        -337.3370    -338.2124       0.8753    92.8
0.1050        -337.3145    -338.2185       0.9040    95.8
0.1055        -337.2903    -338.2212       0.9309    98.7
0.1060        -337.2646    -338.2205       0.9559   101.3
0.1065        -337.2373    -338.2171       0.9798   103.8
0.1070        -337.2085    -338.2124       1.0039   106.4
0.1075        -337.1781    -338.2075       1.0294   109.1
0.1080        -337.1460    -338.2029       1.0569   112.0
0.1085        -337.1121    -338.1995       1.0874   115.2
0.1090        -337.0764    -338.1977       1.1214   118.8
0.1095        -337.0385    -338.1972       1.1586   122.8
0.1100        -336.9985    -338.1970       1.1985   127.0
0.1105        -336.9561    -338.1965       1.2404   131.5
0.1110        -336.9112    -338.1948       1.2835   136.0
0.1115        -336.8638    -338.1911       1.3272   140.7
