Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -330.7125    -333.8308       3.1183   330.5
0.0010        -330.7119    -333.8028       3.0909   327.6
0.0015        -330.7125    -333.8168       3.1043   329.0
0.0020        -330.7132    -333.8643       3.1511   333.9
0.0025        -330.7139    -333.9274       3.2135   340.6
0.0030        -330.7140    -333.9881       3.2741   347.0
0.0035        -330.7133    -334.0378       3.3245   352.3
0.0040        -330.7128    -334.0779       3.3651   356.6
0.0045        -330.7126    -334.1095       3.3969   360.0
0.0050        -330.7132    -334.1286       3.4153   361.9
0.0055        -330.7132    -334.1271       3.4139   361.8
0.0060        -330.7128    -334.1037       3.3908   359.4
0.0065        -330.7117    -334.0668       3.3551   355.6
0.0070        -330.7111    -334.0352       3.3241   352.3
0.0075        -330.7111    -334.0246       3.3135   351.2
0.0080        -330.7123    -334.0400       3.3277   352.7
0.0085        -330.7149    -334.0686       3.3537   355.4
0.0090        -330.7171    -334.0840       3.3670   356.8
0.0095        -330.7185    -334.0673       3.3489   354.9
0.0100        -330.7189    -334.0154       3.2965   349.4
0.0105        -330.7184    -333.9434       3.2250   341.8
0.0110        -330.7179    -333.8785       3.1606   335.0
0.0115        -330.7188    -333.8428       3.1240   331.1
0.0120        -330.7205    -333.8402       3.1197   330.6
0.0125        -330.7219    -333.8619       3.1399   332.8
0.0130        -330.7231    -333.8970       3.1739   336.4
0.0135        -330.7238    -333.9362       3.2123   340.4
0.0140        -330.7240    -333.9757       3.2517   344.6
0.0145        -330.7248    -334.0168       3.2920   348.9
0.0150        -330.7259    -334.0542       3.3283   352.7
0.0155        -330.7272    -334.0760       3.3488   354.9
0.0160        -330.7277    -334.0695       3.3418   354.2
0.0165        -330.7271    -334.0349       3.3078   350.6
0.0170        -330.7263    -333.9886       3.2623   345.7
0.0175        -330.7259    -333.9522       3.2264   341.9
0.0180        -330.7262    -333.9429       3.2167   340.9
0.0185        -330.7275    -333.9629       3.2354   342.9
0.0190        -330.7292    -333.9990       3.2698   346.5
0.0195        -330.7306    -334.0342       3.3036   350.1
0.0200        -330.7315    -334.0578       3.3262   352.5
0.0205        -330.7323    -334.0660       3.3337   353.3
0.0210        -330.7337    -334.0582       3.3245   352.3
0.0215        -330.7348    -334.0322       3.2975   349.5
0.0220        -330.7357    -333.9880       3.2524   344.7
0.0225        -330.7356    -333.9310       3.1954   338.6
0.0230        -330.7350    -333.8771       3.1421   333.0
0.0235        -330.7343    -333.8484       3.1141   330.0
0.0240        -330.7347    -333.8635       3.1288   331.6
0.0245        -330.7361    -333.9223       3.1862   337.7
0.0250        -330.7392    -334.0033       3.2641   345.9
0.0255        -330.7415    -334.0678       3.3263   352.5
0.0260        -330.7420    -334.0864       3.3443   354.4
0.0265        -330.7418    -334.0537       3.3119   351.0
0.0270        -330.7406    -333.9844       3.2438   343.8
0.0275        -330.7399    -333.9042       3.1643   335.3
0.0280        -330.7394    -333.8339       3.0944   327.9
0.0285        -330.7393    -333.7876       3.0483   323.0
0.0290        -330.7393    -333.7720       3.0327   321.4
0.0295        -330.7394    -333.7859       3.0465   322.9
