      Step     Time          Energy         fmax
BFGS:    0 16:03:28      -93.040598        0.9999
BFGS:    1 16:04:06      -93.035616        1.9975
BFGS:    2 16:04:45      -93.053156        0.4192
BFGS:    3 16:05:13      -93.062351        0.4151
BFGS:    4 16:06:05      -93.121923        1.8731
BFGS:    5 16:06:57      -93.125884        2.3199
BFGS:    6 16:07:43      -93.159708        1.2385
BFGS:    7 16:08:18      -93.171428        0.7177
BFGS:    8 16:09:06      -93.186337        0.6791
BFGS:    9 16:09:38      -93.191292        0.6921
BFGS:   10 16:10:20      -93.201390        0.2684
BFGS:   11 16:10:48      -93.202497        0.1317
BFGS:   12 16:11:16      -93.204909        0.4078
BFGS:   13 16:11:54      -93.208893        0.6930
BFGS:   14 16:12:26      -93.213738        0.7348
BFGS:   15 16:13:05      -93.218224        0.3682
BFGS:   16 16:13:40      -93.220035        0.0626
BFGS:   17 16:14:11      -93.220840        0.1698
BFGS:   18 16:14:39      -93.221598        0.1971
BFGS:   19 16:15:11      -93.222953        0.1766
BFGS:   20 16:15:39      -93.223312        0.0653
BFGS:   21 16:16:07      -93.223551        0.1061
BFGS:   22 16:16:29      -93.223761        0.0843
BFGS:   23 16:16:53      -93.224134        0.0652
BFGS:   24 16:17:32      -93.224078        0.0753
BFGS:   25 16:18:07      -93.224816        0.0154
BFGS:   26 16:18:25      -93.224888        0.0131
BFGS:   27 16:18:43      -93.224904        0.0207
BFGS:   28 16:19:05      -93.224989        0.0177
BFGS:   29 16:19:23      -93.225052        0.0186
BFGS:   30 16:20:01      -93.224237        0.0386
BFGS:   31 16:20:29      -93.225171        0.0132
BFGS:   32 16:20:54      -93.225151        0.0144
BFGS:   33 16:21:12      -93.225200        0.0132
BFGS:   34 16:21:30      -93.225222        0.0079
