      Step     Time          Energy         fmax
BFGS:    0 15:39:02      -81.727204        0.7908
BFGS:    1 15:39:33      -81.744594        0.4619
BFGS:    2 15:40:14      -81.761811        0.2207
BFGS:    3 15:40:42      -81.765816        0.2424
BFGS:    4 15:41:23      -81.775953        0.1037
BFGS:    5 15:41:57      -81.777840        0.0482
BFGS:    6 15:42:18      -81.778093        0.0438
BFGS:    7 15:43:09      -81.772872        0.4454
BFGS:    8 15:43:40      -81.779311        0.0826
BFGS:    9 15:44:04      -81.779497        0.0806
BFGS:   10 15:44:32      -81.779821        0.0205
BFGS:   11 15:44:56      -81.779957        0.0172
BFGS:   12 15:45:10      -81.780023        0.0277
BFGS:   13 15:45:31      -81.780085        0.0205
BFGS:   14 15:45:42      -81.780231        0.0154
BFGS:   15 15:46:06      -81.780062        0.0477
BFGS:   16 15:46:17      -81.780079        0.0832
BFGS:   17 15:47:44      -78.574633       16.6637
BFGS:   18 15:49:13      -81.774536        0.2170
BFGS:   19 15:49:41      -81.776421        0.1613
BFGS:   20 15:50:22      -81.779101        0.0490
BFGS:   21 15:50:46      -81.779374        0.0648
BFGS:   22 15:50:57      -81.779408        0.0542
BFGS:   23 15:51:37      -81.778741        0.1382
BFGS:   24 15:52:12      -81.779600        0.0330
BFGS:   25 15:52:22      -81.779730        0.0431
BFGS:   26 15:52:43      -81.779858        0.0244
BFGS:   27 15:53:01      -81.779977        0.0193
BFGS:   28 15:53:29      -81.780117        0.0274
BFGS:   29 15:53:47      -81.780112        0.0203
BFGS:   30 15:53:58      -81.780271        0.0217
BFGS:   31 15:54:58      -81.695169        0.9061
BFGS:   32 15:56:01      -81.780130        0.0656
BFGS:   33 15:56:16      -81.780120        0.0798
BFGS:   34 15:56:43      -81.780000        0.0579
BFGS:   35 15:56:57      -81.780172        0.1039
BFGS:   36 15:57:25      -81.780118        0.0582
BFGS:   37 15:57:52      -81.780202        0.0110
BFGS:   38 15:58:03      -81.780209        0.0163
BFGS:   39 15:58:37      -81.779722        0.0470
BFGS:   40 15:59:05      -81.780172        0.0114
BFGS:   41 15:59:19      -81.780063        0.0219
BFGS:   42 15:59:40      -81.780152        0.0155
BFGS:   43 15:59:51      -81.780276        0.0238
BFGS:   44 16:00:12      -81.780344        0.0186
BFGS:   45 16:00:26      -81.780250        0.0212
BFGS:   46 16:00:37      -81.780303        0.0128
BFGS:   47 16:00:54      -81.780215        0.0138
BFGS:   48 16:01:15      -81.780194        0.0120
BFGS:   49 16:01:26      -81.780280        0.0145
BFGS:   50 16:01:44      -81.780270        0.0102
BFGS:   51 16:01:55      -81.780297        0.0115
BFGS:   52 16:02:09      -81.780274        0.0097
