      Step     Time          Energy         fmax
BFGS:    0 23:13:22     -197.906089        2.2301
BFGS:    1 23:14:25     -198.001175        2.1931
BFGS:    2 23:16:03     -198.603479        2.7133
BFGS:    3 23:17:45     -198.897895        2.8929
BFGS:    4 23:19:10     -198.934379        1.8117
BFGS:    5 23:20:13     -198.962772        1.1343
BFGS:    6 23:21:19     -198.987142        0.4066
BFGS:    7 23:22:26     -199.005204        0.5275
BFGS:    8 23:23:38     -199.023995        0.3998
BFGS:    9 23:24:45     -199.031468        0.2121
BFGS:   10 23:25:43     -199.038194        0.3275
BFGS:   11 23:26:50     -199.050152        0.5118
BFGS:   12 23:28:01     -199.067400        0.7186
BFGS:   13 23:29:23     -199.074804        0.3063
BFGS:   14 23:30:39     -199.084269        0.2267
BFGS:   15 23:31:33     -199.089316        0.1206
BFGS:   16 23:32:35     -199.094000        0.1974
BFGS:   17 23:33:25     -199.097162        0.1665
BFGS:   18 23:33:57     -199.098234        0.0912
BFGS:   19 23:34:51     -199.099511        0.3595
BFGS:   20 23:35:40     -199.100304        0.1542
BFGS:   21 23:36:21     -199.101012        0.0898
BFGS:   22 23:36:53     -199.100929        0.1256
BFGS:   23 23:37:29     -199.101092        0.0335
BFGS:   24 23:37:57     -199.101162        0.0262
BFGS:   25 23:38:29     -199.101229        0.0395
BFGS:   26 23:38:52     -199.101260        0.0450
BFGS:   27 23:39:15     -199.101303        0.0114
BFGS:   28 23:39:34     -199.101311        0.0359
BFGS:   29 23:40:02     -199.101330        0.0308
BFGS:   30 23:40:21     -199.101357        0.0121
BFGS:   31 23:40:48     -199.101379        0.0590
BFGS:   32 23:41:47     -199.099073        0.6236
BFGS:   33 23:42:45     -199.101423        0.0204
BFGS:   34 23:43:13     -199.101426        0.0303
BFGS:   35 23:43:27     -199.101451        0.0349
BFGS:   36 23:43:55     -199.101396        0.0230
BFGS:   37 23:44:23     -199.101443        0.0430
BFGS:   38 23:44:50     -199.101462        0.0239
BFGS:   39 23:45:18     -199.101464        0.0340
BFGS:   40 23:45:46     -199.101438        0.0221
BFGS:   41 23:46:05     -199.101470        0.0454
BFGS:   42 23:47:30     -199.018571        3.1290
BFGS:   43 23:48:59     -199.101474        0.0285
BFGS:   44 23:49:27     -199.101378        0.0260
BFGS:   45 23:49:55     -199.101407        0.0162
BFGS:   46 23:50:27     -199.101388        0.0310
BFGS:   47 23:50:54     -199.101430        0.0414
BFGS:   48 23:51:17     -199.101460        0.0141
BFGS:   49 23:51:36     -199.101463        0.0192
BFGS:   50 23:51:59     -199.101417        0.0205
BFGS:   51 23:52:27     -199.101450        0.0537
BFGS:   52 23:53:13     -199.101245        0.2171
BFGS:   53 23:53:58     -199.101473        0.0146
BFGS:   54 23:54:21     -199.101459        0.0137
BFGS:   55 23:54:40     -199.101502        0.0227
BFGS:   56 23:54:59     -199.101531        0.0267
BFGS:   57 23:55:26     -199.101527        0.0036
