      Step     Time          Energy         fmax
BFGS:    0 21:57:23     -187.484022        3.1234
BFGS:    1 21:58:47     -187.709613        2.3156
BFGS:    2 22:00:28     -187.721405        3.5167
BFGS:    3 22:01:59     -187.882777        0.8363
BFGS:    4 22:03:05     -187.903514        0.3521
BFGS:    5 22:03:58     -187.912690        0.4189
BFGS:    6 22:04:34     -187.918223        0.2875
BFGS:    7 22:05:31     -187.929540        0.0922
BFGS:    8 22:06:15     -187.932742        0.0635
BFGS:    9 22:06:54     -187.933777        0.0797
BFGS:   10 22:07:47     -187.939332        0.1457
BFGS:   11 22:08:28     -187.938824        0.0651
BFGS:   12 22:09:07     -187.939691        0.1107
BFGS:   13 22:09:30     -187.939784        0.1011
BFGS:   14 22:10:57     -187.868951        1.4605
BFGS:   15 22:12:20     -187.939511        0.1022
BFGS:   16 22:13:04     -187.939916        0.0406
BFGS:   17 22:13:31     -187.940111        0.0325
BFGS:   18 22:14:28     -187.939095        0.3279
BFGS:   19 22:15:25     -187.940399        0.0542
BFGS:   20 22:15:48     -187.940508        0.0432
BFGS:   21 22:16:49     -187.937585        0.3929
BFGS:   22 22:17:42     -187.940477        0.0658
BFGS:   23 22:18:09     -187.940669        0.0403
BFGS:   24 22:18:32     -187.940651        0.0385
BFGS:   25 22:19:46     -187.919496        1.1404
BFGS:   26 22:20:52     -187.940614        0.0768
BFGS:   27 22:21:19     -187.940543        0.0719
BFGS:   28 22:22:03     -187.938312        0.2481
BFGS:   29 22:22:47     -187.940329        0.0881
BFGS:   30 22:23:28     -187.940527        0.0318
BFGS:   31 22:23:46     -187.940473        0.0341
BFGS:   32 22:24:43     -187.936993        0.2263
BFGS:   33 22:25:40     -187.940277        0.0278
BFGS:   34 22:26:03     -187.940155        0.0353
BFGS:   35 22:26:30     -187.940213        0.0378
BFGS:   36 22:27:05     -187.940350        0.0397
BFGS:   37 22:27:28     -187.940425        0.0945
BFGS:   38 22:29:09     -187.485320        5.6480
BFGS:   39 22:30:58     -187.938469        0.2006
BFGS:   40 22:31:38     -187.939826        0.1309
BFGS:   41 22:32:18     -187.939716        0.0648
BFGS:   42 22:32:49     -187.939738        0.0505
BFGS:   43 22:33:29     -187.939610        0.0986
BFGS:   44 22:33:52     -187.939726        0.0754
BFGS:   45 22:35:19     -187.856891        1.6548
BFGS:   46 22:36:46     -187.939796        0.0910
BFGS:   47 22:37:13     -187.939792        0.1038
BFGS:   48 22:38:14     -187.934279        0.5238
BFGS:   49 22:39:16     -187.939712        0.0515
BFGS:   50 22:39:38     -187.939813        0.0510
BFGS:   51 22:41:27     -186.979728        4.0720
BFGS:   52 22:43:16     -187.936231        0.2158
BFGS:   53 22:43:56     -187.936727        0.1018
BFGS:   54 22:44:32     -187.936967        0.0873
BFGS:   55 22:45:08     -187.936974        0.0885
BFGS:   56 22:45:30     -187.936919        0.0941
BFGS:   57 22:46:05     -187.936613        0.0448
BFGS:   58 22:46:28     -187.936793        0.0661
BFGS:   59 22:46:55     -187.936841        0.0976
BFGS:   60 22:47:22     -187.936830        0.1267
BFGS:   61 22:48:36     -187.921594        0.3934
BFGS:   62 22:49:50     -187.936792        0.0859
BFGS:   63 22:50:13     -187.936820        0.0657
BFGS:   64 22:51:06     -187.936663        0.1301
BFGS:   65 22:51:45     -187.937158        0.0883
BFGS:   66 22:52:12     -187.937222        0.0442
BFGS:   67 22:52:35     -187.937335        0.0844
BFGS:   68 22:52:58     -187.937601        0.0626
BFGS:   69 22:53:20     -187.937749        0.0510
BFGS:   70 22:54:00     -187.937833        0.0565
BFGS:   71 22:54:36     -187.937891        0.0450
BFGS:   72 22:54:58     -187.937990        0.0475
BFGS:   73 22:55:21     -187.938109        0.0363
BFGS:   74 22:55:43     -187.938417        0.0394
BFGS:   75 22:56:36     -187.940047        0.1104
BFGS:   76 22:57:29     -187.939014        0.0617
BFGS:   77 22:58:00     -187.939294        0.0406
BFGS:   78 22:58:23     -187.939221        0.0635
BFGS:   79 22:59:07     -187.938168        0.0602
BFGS:   80 22:59:51     -187.939090        0.0245
BFGS:   81 23:00:18     -187.939044        0.0373
BFGS:   82 23:00:41     -187.939155        0.0314
BFGS:   83 23:01:03     -187.939468        0.0312
BFGS:   84 23:02:04     -187.939176        0.2118
BFGS:   85 23:03:06     -187.939910        0.0685
BFGS:   86 23:03:33     -187.939862        0.0655
BFGS:   87 23:04:13     -187.939027        0.0434
BFGS:   88 23:04:57     -187.939811        0.0418
BFGS:   89 23:05:15     -187.939777        0.0480
BFGS:   90 23:05:38     -187.939704        0.0294
BFGS:   91 23:06:13     -187.939799        0.0266
BFGS:   92 23:06:44     -187.940065        0.0335
BFGS:   93 23:07:11     -187.940020        0.0347
BFGS:   94 23:07:34     -187.940094        0.0198
BFGS:   95 23:07:52     -187.940279        0.0133
BFGS:   96 23:08:11     -187.940429        0.0163
BFGS:   97 23:08:33     -187.940415        0.0241
BFGS:   98 23:08:56     -187.940454        0.0214
BFGS:   99 23:09:36     -187.940616        0.0558
BFGS:  100 23:10:12     -187.940558        0.0251
BFGS:  101 23:10:35     -187.940643        0.0145
BFGS:  102 23:10:57     -187.940661        0.0188
BFGS:  103 23:11:20     -187.940699        0.0073
